2024-05-14 14:26:28.096209 ; Session        ; Debug       ; Session log loaded as 'C:\Users\sangilkim\Documents\keysight\py_opentap_project\bin\SessionLogs\dotnet.4856 2024-05-14 14-26-14.txt'. [7.70 ms]
2024-05-14 14:26:28.113681 ; Session        ; Debug       ; Running '"C:\Program Files\dotnet\sdk\8.0.204\dotnet.dll" build' in 'C:\Users\sangilkim\Documents\keysight\py_opentap_project\py_opentap_pj.Api'.
2024-05-14 14:26:28.152273 ; AssemblyFinder ; Debug       ; Found 5/26 assembly files. [5.59 ms]
2024-05-14 14:26:28.193934 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [38.8 ms]
2024-05-14 14:26:28.237274 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 175 plugin types. [82.7 ms]
2024-05-14 14:26:28.238233 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.dll from C:\Users\sangilkim\.nuget\packages\opentap\9.23.2\build\payload\OpenTap.dll
2024-05-14 14:26:28.238299 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.Package.dll from C:\Users\sangilkim\.nuget\packages\opentap\9.23.2\build\payload\OpenTap.Package.dll
2024-05-14 14:26:28.238312 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.Plugins.BasicSteps.dll from C:\Users\sangilkim\.nuget\packages\opentap\9.23.2\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2024-05-14 14:26:28.238347 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [84.8 ms]
2024-05-14 14:26:28.257265 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [891 us]
2024-05-14 14:26:28.257357 ; AssemblyData   ; Debug       ; Loaded OpenTap. [1.03 ms]
2024-05-14 14:26:28.260313 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [3.57 ms]
2024-05-14 14:26:28.363865 ; AssemblyData   ; Debug       ; Loaded System.Private.CoreLib. [3.50 us]
2024-05-14 14:26:28.369419 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045X64
2024-05-14 14:26:28.369507 ; SystemInfo     ; Debug       ; .NET 8.0.4
2024-05-14 14:26:28.369765 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.23.2+5a906a86 X64
2024-05-14 14:26:28.502889 ; Installation   ; Debug       ; OpenTAP                  - 9.23.2+5a906a86
2024-05-14 14:26:28.502930 ; Installation   ; Debug       ; PathWave License Manager - 2.7.0+398d3a87
2024-05-14 14:26:28.545680 ; Resolver       ; Debug       ; Found match for OpenTap.Repository.Client, Version=4.17.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\sangilkim\.nuget\packages\opentap\9.23.2\build\payload\Dependencies\OpenTap.Repository.Client.4.17.0.0\OpenTap.Repository.Client.dll
2024-05-14 14:26:28.554964 ; Settings       ; Debug       ; No settings file exists for AuthenticationSettings. A new instance with default values has been created. [388 us]
2024-05-14 14:26:28.560832 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [2.53 ms]
2024-05-14 14:26:28.840511 ; FilePackageRepository ; Debug       ; Rebuilding cache: .PackageCache.A6257B13.16.xml [257 ms]
2024-05-14 14:26:28.849352 ; Package Query  ; Debug       ; Read 16 packages from [FilePackageRepository: file:///C:/Users/sangilkim/AppData/Local/OpenTap/PackageCache] [271 ms]
2024-05-14 14:26:30.485125 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","version":"","architecture":"x64","os":"Windows"} -> found 1402 packages. [1.90 s]
2024-05-14 14:26:31.451894 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight Licensing","version":"rc","architecture":"x64","os":"Windows"} -> found 14 packages. [941 ms]
2024-05-14 14:26:32.427493 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight Licensing","version":"beta","architecture":"x64","os":"Windows"} -> found 10 packages. [975 ms]
2024-05-14 14:26:33.455623 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"OpenTAP","version":"rc","architecture":"x64","os":"Windows"} -> found 176 packages. [1.02 s]
2024-05-14 14:26:34.441122 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"PathWave Licensing","version":"rc","architecture":"x64","os":"Windows"} -> found 6 packages. [984 ms]
2024-05-14 14:26:35.376919 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight Floating Licensing","version":"rc","architecture":"x64","os":"Windows"} -> found 6 packages. [935 ms]
2024-05-14 14:26:36.343851 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight Fixed Licensing","version":"rc","architecture":"x64","os":"Windows"} -> found 6 packages. [966 ms]
2024-05-14 14:26:36.357511 ; image          ; Debug       ; Resolved image: PythonExamples:3.1.0, Python:3.1.0, Editor:, OpenTAP:9.23.2+5a906a86, PathWave License Manager:^2.7.0+398d3a87 [5.85 s]
2024-05-14 14:26:37.331855 ; OpenTAP        ; Information ; Modifying installation in ../bin/:
2024-05-14 14:26:37.331924 ; OpenTAP        ; Information ; - Skipping OpenTAP version 9.23.2+5a906a86 (x64-Windows) - Already installed.
2024-05-14 14:26:37.331928 ; OpenTAP        ; Information ; - Skipping PathWave License Manager version 2.7.0+398d3a87 (x64-Windows) - Already installed.
2024-05-14 14:26:37.332074 ; OpenTAP        ; Information ; - Installing Editor version 9.23.0+a3027bf1
