2024-05-14 16:38:37.047581 ; Session        ; Debug       ; Session log loaded as 'C:\Users\sangilkim\Documents\keysight\py_opentap_project\bin\SessionLogs\dotnet.5676 2024-05-14 16-38-34.txt'. [9.13 ms]
2024-05-14 16:38:37.078442 ; Session        ; Debug       ; Running '"C:\Program Files\dotnet\sdk\8.0.204\dotnet.dll" build' in 'C:\Users\sangilkim\Documents\keysight\py_opentap_project\py_opentap_pj.Api'.
2024-05-14 16:38:37.129371 ; AssemblyFinder ; Debug       ; Found 5/26 assembly files. [7.38 ms]
2024-05-14 16:38:37.179342 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [43.0 ms]
2024-05-14 16:38:37.216072 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 175 plugin types. [80.3 ms]
2024-05-14 16:38:37.217431 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.dll from C:\Users\sangilkim\.nuget\packages\opentap\9.23.2\build\payload\OpenTap.dll
2024-05-14 16:38:37.217532 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.Package.dll from C:\Users\sangilkim\.nuget\packages\opentap\9.23.2\build\payload\OpenTap.Package.dll
2024-05-14 16:38:37.217552 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.Plugins.BasicSteps.dll from C:\Users\sangilkim\.nuget\packages\opentap\9.23.2\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2024-05-14 16:38:37.217603 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [86.9 ms]
2024-05-14 16:38:37.238882 ; AssemblyData   ; Debug       ; Loaded OpenTap. [1.03 ms]
2024-05-14 16:38:37.238882 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [1.08 ms]
2024-05-14 16:38:37.240469 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [2.61 ms]
2024-05-14 16:38:37.382602 ; AssemblyData   ; Debug       ; Loaded System.Private.CoreLib. [2.70 us]
2024-05-14 16:38:37.389800 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045X64
2024-05-14 16:38:37.389932 ; SystemInfo     ; Debug       ; .NET 8.0.4
2024-05-14 16:38:37.390366 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.23.2+5a906a86 X64
2024-05-14 16:38:37.660893 ; Installation   ; Debug       ; Editor                   - 9.23.0+a3027bf1
2024-05-14 16:38:37.660941 ; Installation   ; Debug       ; Keysight Licensing       - 1.4.5+2bd4be43
2024-05-14 16:38:37.660944 ; Installation   ; Debug       ; OpenTAP                  - 9.23.2+5a906a86
2024-05-14 16:38:37.660947 ; Installation   ; Debug       ; OSIntegration            - 1.4.2+15f32a31
2024-05-14 16:38:37.660949 ; Installation   ; Debug       ; Python                   - 3.1.0+73e66d85
